iter	Passed	Remaining
729	3474	1285
730	3478	1280
731	3482	1275
732	3486	1270
733	3490	1265
734	3494	1260
735	3498	1254
736	3503	1250
737	3507	1245
738	3511	1240
739	3515	1235
740	3519	1230
741	3522	1224
742	3526	1219
743	3530	1214
744	3534	1209
745	3539	1204
746	3542	1199
747	3546	1194
748	3550	1189
749	3555	1185
750	3559	1180
751	3563	1175
752	3567	1170
753	3571	1165
754	3575	1160
755	3579	1155
756	3583	1150
757	3587	1145
758	3591	1140
759	3595	1135
760	3599	1130
761	3603	1125
762	3607	1120
763	3611	1115
764	3615	1110
765	3619	1105
766	3623	1100
767	3627	1095
768	3630	1090
769	3634	1085
770	3638	1080
771	3642	1075
772	3646	1070
773	3650	1065
774	3654	1060
775	3658	1056
776	3662	1051
777	3666	1046
778	3670	1041
779	3675	1036
780	3678	1031
781	3683	1026
782	3687	1021
783	3691	1017
784	3695	1012
785	3699	1007
786	3703	1002
787	3707	997
788	3711	992
789	3716	987
790	3720	982
791	3724	978
792	3728	973
793	3732	968
794	3736	963
795	3740	958
796	3744	953
797	3748	948
798	3751	943
799	3755	938
800	3760	934
801	3764	929
802	3768	924
803	3772	919
804	3776	914
805	3780	910
806	3785	905
807	3788	900
808	3792	895
809	3796	890
810	3800	885
811	3804	880
812	3808	875
813	3812	871
814	3816	866
815	3820	861
816	3824	856
817	3828	851
818	3832	847
819	3836	842
820	3840	837
821	3844	832
822	3848	827
823	3852	822
824	3857	818
825	3861	813
826	3865	808
827	3869	803
828	3873	799
829	3877	794
830	3881	789
831	3885	784
832	3889	779
833	3892	774
834	3896	770
835	3901	765
836	3904	760
837	3909	755
838	3913	750
839	3917	746
840	3920	741
841	3924	736
842	3928	731
843	3932	726
844	3936	722
845	3940	717
846	3944	712
847	3948	707
848	3952	703
849	3956	698
850	3960	693
851	3964	688
852	3968	683
853	3972	679
854	3977	674
855	3980	669
856	3984	664
857	3988	660
858	3992	655
859	3996	650
860	4000	645
861	4004	641
862	4008	636
863	4012	631
864	4016	626
865	4020	622
866	4024	617
867	4028	612
868	4033	608
869	4038	603
870	4042	598
871	4046	594
872	4050	589
873	4054	584
874	4059	579
875	4064	575
876	4069	570
877	4074	566
878	4079	561
879	4084	556
880	4088	552
881	4092	547
882	4096	542
883	4101	538
884	4105	533
885	4109	528
886	4114	524
887	4118	519
888	4123	514
889	4127	510
890	4131	505
891	4136	500
892	4140	496
893	4146	491
894	4151	487
895	4155	482
896	4160	477
897	4164	473
898	4168	468
899	4173	463
900	4178	459
901	4183	454
902	4187	449
903	4192	445
904	4197	440
905	4201	435
906	4206	431
907	4212	426
908	4216	422
909	4221	417
910	4227	413
911	4232	408
912	4236	403
913	4241	399
914	4246	394
915	4250	389
916	4254	385
917	4259	380
918	4263	375
919	4268	371
920	4274	366
921	4280	362
922	4284	357
923	4289	352
924	4295	348
925	4299	343
926	4303	338
927	4308	334
928	4313	329
929	4317	324
930	4321	320
931	4327	315
932	4330	311
933	4335	306
934	4342	301
935	4347	297
936	4353	292
937	4359	288
938	4364	283
939	4369	278
940	4375	274
941	4379	269
942	4383	264
943	4390	260
944	4395	255
945	4399	251
946	4403	246
947	4409	241
948	4413	237
949	4417	232
950	4422	227
951	4426	223
952	4430	218
953	4435	213
954	4440	209
955	4445	204
956	4449	199
957	4455	195
958	4461	190
959	4466	186
960	4471	181
961	4476	176
962	4481	172
963	4486	167
964	4492	162
965	4497	158
966	4502	153
967	4507	149
968	4512	144
969	4517	139
970	4523	135
971	4527	130
972	4531	125
973	4536	121
974	4542	116
975	4546	111
976	4550	107
977	4556	102
978	4562	97
979	4566	93
980	4570	88
981	4574	83
982	4578	79
983	4582	74
984	4586	69
985	4589	65
986	4593	60
987	4597	55
988	4602	51
989	4606	46
990	4610	41
991	4614	37
992	4618	32
993	4622	27
994	4626	23
995	4630	18
996	4634	13
997	4639	9
998	4644	4
999	4648	0
